# Temperature	Specific_Heat
1.00000000e-01	-0.00000000e+00
1.17077991e-01	-0.00000000e+00
1.37072561e-01	-0.00000000e+00
1.60481801e-01	-0.00000000e+00
1.87888869e-01	-0.00000000e+00
2.19976514e-01	-0.00000000e+00
2.57544084e-01	-0.00000000e+00
3.01527440e-01	-0.00000000e+00
3.53022270e-01	-0.00000000e+00
4.13311383e-01	-0.00000000e+00
4.83896665e-01	-0.00000000e+00
5.66536496e-01	-0.00000000e+00
6.63289550e-01	-0.00000000e+00
7.76566082e-01	-0.00000000e+00
9.09187971e-01	-0.00000000e+00
1.06445901e+00	-0.00000000e+00
1.24624723e+00	-0.00000000e+00
1.45908123e+00	-0.00000000e+00
1.70826299e+00	-0.00000000e+00
2.00000000e+00	-0.00000000e+00
