# Temperature  Energy (J/mol)  Error
1.000000000000e-01  -2.118073731651e+00  4.221933766356e+00
1.170779913723e-01  -2.125584744532e+00  4.210789270325e+00
1.370725606377e-01  -2.150301113921e+00  4.174055253593e+00
1.604818007171e-01  -2.216312417450e+00  4.075577572271e+00
1.878888687977e-01  -2.361674856257e+00  3.857238211094e+00
2.199765136004e-01  -2.627238868040e+00  3.453856364451e+00
2.575440836141e-01  -3.029224013790e+00  2.832601277266e+00
3.015274399936e-01  -3.531582754725e+00  2.037358792966e+00
3.530222701807e-01  -4.050319317032e+00  1.201325050761e+00
4.133113830244e-01  -4.497919719826e+00  5.914301205557e-01
4.838966653580e-01  -4.829655007632e+00  7.451104923170e-01
5.665364961185e-01  -5.052798010249e+00  1.249424780326e+00
6.632895500465e-01  -5.202766495417e+00  1.773808415202e+00
7.765660821766e-01  -5.314331895209e+00  2.325214588159e+00
9.091879706908e-01  -5.406274269104e+00  2.923810393702e+00
1.064459013883e+00  -5.480997527184e+00  3.558248749259e+00
1.246247232436e+00  -5.532171717569e+00  4.194825001988e+00
1.459081227268e+00  -5.552951711977e+00  4.796524674452e+00
1.708262993376e+00  -5.540686338725e+00  5.335917048601e+00
2.000000000000e+00  -5.497739095215e+00  5.799126914671e+00
