# Temperature  Entropy (J/(K·mol))  Error
1.000000000000e-01  -5.325071026979e+01  8.674204101447e+01
1.170779913723e-01  -4.399924872367e+01  7.703946420374e+01
1.370725606377e-01  -3.623149063171e+01  6.857179828071e+01
1.604818007171e-01  -2.987271801569e+01  6.095143588516e+01
1.878888687977e-01  -2.489567283348e+01  5.378751052630e+01
2.199765136004e-01  -2.123423725951e+01  4.679591406097e+01
2.575440836141e-01  -1.868098792184e+01  3.993806634255e+01
3.015274399936e-01  -1.686380735689e+01  3.345573125053e+01
3.530222701807e-01  -1.536582018076e+01  2.770702346810e+01
4.133113830244e-01  -1.390239989504e+01  2.291604920993e+01
4.838966653580e-01  -1.239358273199e+01  1.906001659870e+01
5.665364961185e-01  -1.089655768021e+01  1.595024165013e+01
6.632895500465e-01  -9.497561376604e+00  1.337513322432e+01
7.765660821766e-01  -8.248555930439e+00  1.118559356524e+01
9.091879706908e-01  -7.158212447562e+00  9.305331595772e+00
1.064459013883e+00  -6.209442807187e+00  7.702495001911e+00
1.246247232436e+00  -5.378691224238e+00  6.358408048031e+00
1.459081227268e+00  -4.646607994440e+00  5.250115019890e+00
1.708262993376e+00  -4.000359984639e+00  4.347027030905e+00
2.000000000000e+00  -3.431730704174e+00  3.614871966927e+00
