# Temperature  Free Energy (J/mol)  Error
1.000000000000e-01  3.206997295328e+00  4.643235982098e+00
1.170779913723e-01  3.025758917925e+00  4.973471015041e+00
1.370725606377e-01  2.816042082688e+00  5.364218640688e+00
1.604818007171e-01  2.577715162024e+00  5.819778973035e+00
1.878888687977e-01  2.315944950383e+00  6.337213274373e+00
2.199765136004e-01  2.043794613272e+00  6.902136735202e+00
2.575440836141e-01  1.781953901547e+00  7.488204251839e+00
3.015274399936e-01  1.553317906144e+00  8.063764811940e+00
3.530222701807e-01  1.374157406367e+00  8.603803378536e+00
4.133113830244e-01  1.248100408150e+00  9.098868079054e+00
4.838966653580e-01  1.167558348215e+00  9.554154279929e+00
5.665364961185e-01  1.120499597653e+00  9.980763782854e+00
6.632895500465e-01  1.096866716609e+00  1.038662944998e+01
7.765660821766e-01  1.091216867307e+00  1.077234451306e+01
9.091879706908e-01  1.101886379868e+00  1.113227114780e+01
1.064459013883e+00  1.128699840118e+00  1.145841179961e+01
1.246247232436e+00  1.171007334763e+00  1.174421611681e+01
1.459081227268e+00  1.226826783185e+00  1.198669098247e+01
1.708262993376e+00  1.292980583213e+00  1.218663907577e+01
2.000000000000e+00  1.365722313134e+00  1.234772262014e+01
