# NLCE Partial Sum up to Order 2
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -2.547457158599e-01  -2.689197766653e-02  -6.404588331846e+00  3.857131173247e-01
1.170779913723e-01  -2.556490830677e-01  -8.674034839483e-02  -5.291893264107e+00  3.639151508504e-01
1.370725606377e-01  -2.586217790223e-01  -2.230900397530e-01  -4.357646704985e+00  3.386920131843e-01
1.604818007171e-01  -2.665611139571e-01  -4.679424419867e-01  -3.592862147274e+00  3.100278731659e-01
1.878888687977e-01  -2.840441968072e-01  -8.102749024473e-01  -2.994261202056e+00  2.785441533319e-01
2.199765136004e-01  -3.159842059190e-01  -1.161014872944e+00  -2.553891722738e+00  2.458119913618e-01
2.575440836141e-01  -3.643319060905e-01  -1.371687341159e+00  -2.246806411885e+00  2.143197923167e-01
3.015274399936e-01  -4.247517749390e-01  -1.332565701854e+00  -2.028249825800e+00  1.868212027019e-01
3.530222701807e-01  -4.871414429345e-01  -1.070147914755e+00  -1.848083380303e+00  1.652731474632e-01
4.133113830244e-01  -5.409753974966e-01  -7.241429117355e-01  -1.672074376122e+00  1.501119754180e-01
4.838966653580e-01  -5.808739818118e-01  -4.300450866105e-01  -1.490605382593e+00  1.404249921896e-01
5.665364961185e-01  -6.077119162478e-01  -2.422384830842e-01  -1.310554654058e+00  1.347651254341e-01
6.632895500465e-01  -6.257489791412e-01  -1.449940480342e-01  -1.142294073927e+00  1.319227431746e-01
7.765660821766e-01  -6.391672125154e-01  -9.839581125503e-02  -9.920732474555e-01  1.312432224934e-01
9.091879706908e-01  -6.502253383521e-01  -7.044975488156e-02  -8.609350689644e-01  1.325264698962e-01
1.064459013883e+00  -6.592124805778e-01  -4.606147005263e-02  -7.468243099235e-01  1.357513879074e-01
1.246247232436e+00  -6.653673209728e-01  -2.255706023631e-02  -6.469078605868e-01  1.408398099243e-01
1.459081227268e+00  -6.678665798380e-01  -2.225183382324e-03  -5.588584864517e-01  1.475533464432e-01
1.708262993376e+00  -6.663913945116e-01  1.266573666395e-02  -4.811327163712e-01  1.555098197675e-01
2.000000000000e+00  -6.612260283920e-01  2.155328269543e-02  -4.127423336635e-01  1.642586389350e-01
