# Temperature  Specific Heat (J/(K·mol))  Error
1.000000000000e-01  -2.235923430366e-01  3.341685715101e-01
1.170779913723e-01  -7.211993842144e-01  1.080012229069e+00
1.370725606377e-01  -1.854873796008e+00  2.788140255182e+00
1.604818007171e-01  -3.890689941345e+00  5.886390815155e+00
1.878888687977e-01  -6.737000386826e+00  1.030356664915e+01
2.199765136004e-01  -9.653214760213e+00  1.502761977466e+01
2.575440836141e-01  -1.140484312186e+01  1.827698224131e+01
3.015274399936e-01  -1.107956771429e+01  1.862315513273e+01
3.530222701807e-01  -8.897704833123e+00  1.618125671141e+01
4.133113830244e-01  -6.020859169825e+00  1.246984271034e+01
4.838966653580e-01  -3.575593796743e+00  9.144430540133e+00
5.665364961185e-01  -2.014082812282e+00  7.032153044076e+00
6.632895500465e-01  -1.205547592235e+00  6.006542398559e+00
7.765660821766e-01  -8.181082944628e-01  5.463523851755e+00
9.091879706908e-01  -5.857518534208e-01  4.930635334862e+00
1.064459013883e+00  -3.829763708898e-01  4.251755415243e+00
1.246247232436e+00  -1.875498341102e-01  3.470251798213e+00
1.459081227268e+00  -1.850120405087e-02  2.690418408447e+00
1.708262993376e+00  1.053087940238e-01  1.997605836484e+00
2.000000000000e+00  1.792039632696e-01  1.433510668005e+00
