# Temperature  Energy (J/mol)  Error
1.000000000000e-01  -2.136992134026e+00  4.252233534252e+00
1.170779913723e-01  -2.158996622591e+00  4.221652309249e+00
1.370725606377e-01  -2.230820946374e+00  4.122725418859e+00
1.604818007171e-01  -2.417497182956e+00  3.873253082813e+00
1.878888687977e-01  -2.801841912255e+00  3.404804211454e+00
2.199765136004e-01  -3.415588098306e+00  2.849009670452e+00
2.575440836141e-01  -4.156479690518e+00  2.681821350643e+00
3.015274399936e-01  -4.816028432613e+00  3.088811959241e+00
3.530222701807e-01  -5.221582624610e+00  3.590533588997e+00
4.133113830244e-01  -5.329702727874e+00  3.857822827648e+00
4.838966653580e-01  -5.202586266010e+00  3.872060000958e+00
5.665364961185e-01  -4.937418066234e+00  3.730617653820e+00
6.632895500465e-01  -4.615705803050e+00  3.531528901453e+00
7.765660821766e-01  -4.287275076719e+00  3.337911817344e+00
9.091879706908e-01  -3.975021426733e+00  3.178943337346e+00
1.064459013883e+00  -3.685268302253e+00  3.061201365412e+00
1.246247232436e+00  -3.416535707199e+00  2.979622049810e+00
1.459081227268e+00  -3.165127424747e+00  2.925145680029e+00
1.708262993376e+00  -2.927971345190e+00  2.889007059390e+00
2.000000000000e+00  -2.703557506581e+00  2.864496230307e+00
