# Temperature  Entropy (J/(K·mol))  Error
1.000000000000e-01  -3.192645528510e+01  1.089966054669e+02
1.170779913723e-01  -2.591092801384e+01  9.638780169766e+01
1.370725606377e-01  -2.116158265500e+01  8.503026199049e+01
1.604818007171e-01  -1.787302845965e+01  7.412191788756e+01
1.878888687977e-01  -1.619799745452e+01  6.298656500729e+01
2.199765136004e-01  -1.589847622964e+01  5.163631729785e+01
2.575440836141e-01  -1.618706591525e+01  4.099740489921e+01
3.015274399936e-01  -1.615167943058e+01  3.216944106057e+01
3.530222701807e-01  -1.534672187848e+01  2.553167611705e+01
4.133113830244e-01  -1.387897794842e+01  2.074776353735e+01
4.838966653580e-01  -1.209607107024e+01  1.726097488547e+01
5.665364961185e-01  -1.030690513494e+01  1.460585211926e+01
6.632895500465e-01  -8.684968821167e+00  1.247699314359e+01
7.765660821766e-01  -7.289616871746e+00  1.069884430167e+01
9.091879706908e-01  -6.116875328532e+00  9.177949158520e+00
1.064459013883e+00  -5.138080360975e+00  7.864869622508e+00
1.246247232436e+00  -4.320368214537e+00  6.730455290335e+00
1.459081227268e+00  -3.634831266786e+00  5.753460166258e+00
1.708262993376e+00  -3.058348847380e+00  4.915269302238e+00
2.000000000000e+00  -2.572863031473e+00  4.198357830658e+00
