# Temperature  Free Energy (J/mol)  Error
1.000000000000e-01  1.055653394483e+00  6.715510090648e+00
1.170779913723e-01  8.746027838613e-01  7.151092672166e+00
1.370725606377e-01  6.698513752917e-01  7.653181359589e+00
1.604818007171e-01  4.507986085168e-01  8.210617536578e+00
1.878888687977e-01  2.415815062623e-01  8.786928654622e+00
2.199765136004e-01  8.170327425015e-02  9.317864078340e+00
2.575440836141e-01  1.240336702513e-02  9.733100562845e+00
3.015274399936e-01  5.414611768627e-02  9.993507485571e+00
3.530222701807e-01  1.961519727624e-01  1.010857399626e+01
4.133113830244e-01  4.066368429512e-01  1.012027576158e+01
4.838966653580e-01  6.506621888120e-01  1.007599947280e+01
5.665364961185e-01  9.018198547391e-01  1.001174925146e+01
6.632895500465e-01  1.144943258509e+00  9.948339864712e+00
7.765660821766e-01  1.373594137942e+00  9.894559665846e+00
9.091879706908e-01  1.586368040184e+00  9.851912307369e+00
1.064459013883e+00  1.784007652043e+00  9.818478415766e+00
1.246247232436e+00  1.967711223271e+00  9.791379765487e+00
1.459081227268e+00  2.138386640907e+00  9.768063188099e+00
1.708262993376e+00  2.296492811623e+00  9.746773631120e+00
2.000000000000e+00  2.442168556365e+00  9.726557792818e+00
