# NLCE Partial Sum up to Order 2
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -2.570210766671e-01  -7.885897304183e-02  -3.839869965305e+00  1.269659198634e-01
1.170779913723e-01  -2.596676083283e-01  -2.537357584948e-01  -3.116368333567e+00  1.051905365419e-01
1.370725606377e-01  -2.683060888991e-01  -6.437253031400e-01  -2.545153382348e+00  8.056460243495e-02
1.604818007171e-01  -2.907580795033e-01  -1.296160593847e+00  -2.149631224588e+00  5.421861029630e-02
1.878888687977e-01  -3.369841252443e-01  -2.042504708165e+00  -1.948171300831e+00  2.905557669293e-02
2.199765136004e-01  -4.108008244392e-01  -2.451499533719e+00  -1.912147177730e+00  9.826645208767e-03
2.575440836141e-01  -4.999096010659e-01  -2.183294897261e+00  -1.946856538858e+00  1.491782162572e-03
3.015274399936e-01  -5.792350815431e-01  -1.395134874575e+00  -1.942600523011e+00  6.512281090549e-03
3.530222701807e-01  -6.280120393120e-01  -5.467547239904e-01  -1.845786382510e+00  2.359165971041e-02
4.133113830244e-01  -6.410158987591e-01  4.628606725220e-02  -1.669257363442e+00  4.890717074888e-02
4.838966653580e-01  -6.257273025259e-01  3.343388897792e-01  -1.454822954382e+00  7.825667378567e-02
5.665364961185e-01  -5.938348986565e-01  4.099101139813e-01  -1.239635753781e+00  1.084639977538e-01
6.632895500465e-01  -5.551418071172e-01  3.804328043003e-01  -1.044561653594e+00  1.377050220912e-01
7.765660821766e-01  -5.156406701929e-01  3.167225320428e-01  -8.767393885241e-01  1.652054018432e-01
9.091879706908e-01  -4.780851883384e-01  2.526801350734e-01  -7.356910012653e-01  1.907962201575e-01
1.064459013883e+00  -4.432358976763e-01  1.997046948370e-01  -6.179690254132e-01  2.145668017254e-01
1.246247232436e+00  -4.109147955924e-01  1.588054144064e-01  -5.196208598142e-01  2.366612628668e-01
1.459081227268e+00  -3.806773293846e-01  1.275074405575e-01  -4.371697166392e-01  2.571887972938e-01
1.708262993376e+00  -3.521540091836e-01  1.030024392569e-01  -3.678348184166e-01  2.762045987926e-01
2.000000000000e+00  -3.251632283099e-01  8.320953554485e-02  -3.094442959976e-01  2.937253636853e-01
