# Temperature  Specific Heat (J/(K·mol))  Error
1.000000000000e-01  -6.556699834622e-01  1.187025938124e+00
1.170779913723e-01  -2.109676478894e+00  3.827242966996e+00
1.370725606377e-01  -5.352229969317e+00  9.740992424520e+00
1.604818007171e-01  -1.077687880467e+01  1.970335224897e+01
1.878888687977e-01  -1.698232904344e+01  3.125604101100e+01
2.199765136004e-01  -2.038290123153e+01  3.797977737590e+01
2.575440836141e-01  -1.815292380768e+01  3.486588880538e+01
3.015274399936e-01  -1.159979676194e+01  2.432213815279e+01
3.530222701807e-01  -4.545971713917e+00  1.298960181764e+01
4.133113830244e-01  3.848437759098e-01  5.290131389251e+00
4.838966653580e-01  2.779848200864e+00  2.424366390149e+00
5.665364961185e-01  3.408182319500e+00  2.341478517840e+00
6.632895500465e-01  3.163094330074e+00  2.085694988608e+00
7.765660821766e-01  2.633377652997e+00  1.549446605427e+00
9.091879706908e-01  2.100899537418e+00  1.011024737950e+00
1.064459013883e+00  1.660437219892e+00  5.993497276659e-01
1.246247232436e+00  1.320381681642e+00  3.432970773159e-01
1.459081227268e+00  1.060155848051e+00  2.303259473451e-01
1.708262993376e+00  8.564099307800e-01  2.061555835509e-01
2.000000000000e+00  6.918425727616e-01  2.021195734004e-01
