# Temperature  Energy (J/mol)  Error
1.000000000000e-01  -2.154254086884e+00  4.287092577714e+00
1.170779913723e-01  -2.176472038934e+00  4.256589240819e+00
1.370725606377e-01  -2.250432311477e+00  4.154967443932e+00
1.604818007171e-01  -2.448664870675e+00  3.882248596836e+00
1.878888687977e-01  -2.879470020823e+00  3.288547207678e+00
2.199765136004e-01  -3.633772243413e+00  2.248662781315e+00
2.575440836141e-01  -4.684384225857e+00  8.510223048247e-01
3.015274399936e-01  -5.839052498397e+00  1.084516631976e+00
3.530222701807e-01  -6.841443146537e+00  2.562135820946e+00
4.133113830244e-01  -7.526648430968e+00  3.725819614551e+00
4.838966653580e-01  -7.875140661603e+00  4.492384550062e+00
5.665364961185e-01  -7.961146847115e+00  4.936641972115e+00
6.632895500465e-01  -7.881253534169e+00  5.174359097603e+00
7.765660821766e-01  -7.712179366869e+00  5.307240471467e+00
9.091879706908e-01  -7.499041165213e+00  5.403346495439e+00
1.064459013883e+00  -7.260785534734e+00  5.496630718839e+00
1.246247232436e+00  -7.001461609614e+00  5.595465433467e+00
1.459081227268e+00  -6.720516850511e+00  5.694258303614e+00
1.708262993376e+00  -6.419071185203e+00  5.783651067238e+00
2.000000000000e+00  -6.101971474792e+00  5.856625067620e+00
