# Temperature  Entropy (J/(K·mol))  Error
1.000000000000e-01  -2.238642412738e+01  1.204843767018e+02
1.170779913723e-01  -1.636914522575e+01  1.076205741449e+02
1.370725606377e-01  -1.163315839376e+01  9.608091067711e+01
1.604818007171e-01  -8.418417972219e+00  8.508366702509e+01
1.878888687977e-01  -7.004600036120e+00  7.385071806563e+01
2.199765136004e-01  -7.386565313854e+00  6.203468103773e+01
2.575440836141e-01  -8.965263527733e+00  5.013082176232e+01
3.015274399936e-01  -1.069949910964e+01  3.927944463462e+01
3.530222701807e-01  -1.172296588653e+01  3.045080826764e+01
4.133113830244e-01  -1.176899856445e+01  2.387354097309e+01
4.838966653580e-01  -1.105340416447e+01  1.916363151806e+01
5.665364961185e-01  -9.937930449932e+00  1.574721796842e+01
6.632895500465e-01  -8.712300512749e+00  1.314607074768e+01
7.765660821766e-01  -7.539944135218e+00  1.105633271902e+01
9.091879706908e-01  -6.485629602046e+00  9.316357536835e+00
1.064459013883e+00  -5.559422602140e+00  7.848403098659e+00
1.246247232436e+00  -4.750006870057e+00  6.612199152872e+00
1.459081227268e+00  -4.042613597557e+00  5.578679829033e+00
1.708262993376e+00  -3.425383512116e+00  4.719794649334e+00
2.000000000000e+00  -2.889662933417e+00  4.007280451586e+00
