# Temperature  Free Energy (J/mol)  Error
1.000000000000e-01  8.438832585380e-02  7.765202525378e+00
1.170779913723e-01  -2.600053954219e-01  8.348136521971e+00
1.370725606377e-01  -6.558455021415e-01  9.020760639314e+00
1.604818007171e-01  -1.097661995304e+00  9.778842900676e+00
1.878888687977e-01  -1.563383643657e+00  1.059577321143e+01
2.199765136004e-01  -2.008901358190e+00  1.141466727875e+01
2.575440836141e-01  -2.375433646248e+00  1.215733422455e+01
3.015274399936e-01  -2.612859922655e+00  1.275466128884e+01
3.530222701807e-01  -2.702975116024e+00  1.317765595548e+01
4.133113830244e-01  -2.662387357484e+00  1.344250894257e+01
4.838966653580e-01  -2.526435245563e+00  1.359089212986e+01
5.665364961185e-01  -2.330946551341e+00  1.366665873814e+01
6.632895500465e-01  -2.102475647198e+00  1.370256298179e+01
7.765660821766e-01  -1.856914489953e+00  1.371739479972e+01
9.091879706908e-01  -1.602384748677e+00  1.371894317286e+01
1.064459013883e+00  -1.343008033901e+00  1.370873540607e+01
1.246247232436e+00  -1.081778693756e+00  1.368617033442e+01
1.459081227268e+00  -8.220152412167e-01  1.365106268889e+01
1.708262993376e+00  -5.676152933360e-01  1.360459285940e+01
2.000000000000e+00  -3.226456079568e-01  1.354917849548e+01
