# NLCE Partial Sum up to Order 1
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -7.747159176061e-01  2.936469850253e-02  -1.717500751374e+01  9.427848337681e-01
1.170779913723e-01  -7.737191155412e-01  9.633764673622e-02  -1.490301917508e+01  9.710964348593e-01
1.370725606377e-01  -7.703883545659e-01  2.513550174632e-01  -1.294424032448e+01  1.003911812221e+00
1.604818007171e-01  -7.613958063829e-01  5.313434993793e-01  -1.123335893196e+01  1.041353863119e+00
1.878888687977e-01  -7.415820232341e-01  9.144305777569e-01  -9.710089592098e+00  1.082835726149e+00
2.199765136004e-01  -7.059881967604e-01  1.275854950842e+00  -8.331551151271e+00  1.126757378380e+00
2.575440836141e-01  -6.540173861144e-01  1.443157398702e+00  -7.085067457357e+00  1.170699819535e+00
3.015274399936e-01  -5.917988810152e-01  1.348988109112e+00  -5.983173818594e+00  1.212292203542e+00
3.530222701807e-01  -5.288471040698e-01  1.087804334931e+00  -5.039390796356e+00  1.250170075188e+00
4.133113830244e-01  -4.722590028149e-01  8.022962186520e-01  -4.249791569183e+00  1.284228228210e+00
4.838966653580e-01  -4.242887314432e-01  5.755102478290e-01  -3.594657780570e+00  1.315154181678e+00
5.665364961185e-01  -3.836699556735e-01  4.229452806144e-01  -3.049199650642e+00  1.343812930367e+00
6.632895500465e-01  -3.478419311526e-01  3.277714892731e-01  -2.591186674416e+00  1.370865112207e+00
7.765660821766e-01  -3.144471250541e-01  2.676012904640e-01  -2.203413736871e+00  1.396649248002e+00
9.091879706908e-01  -2.819612469994e-01  2.253645134195e-01  -1.873303990558e+00  1.421224206663e+00
1.064459013883e+00  -2.497592566466e-01  1.911582249163e-01  -1.591638832732e+00  1.444475045701e+00
1.246247232436e+00  -2.178982165446e-01  1.606244350715e-01  -1.351352641352e+00  1.466221272785e+00
1.459081227268e+00  -1.868146507166e-01  1.326231368479e-01  -1.146688583320e+00  1.486297134729e+00
1.708262993376e+00  -1.570591241636e-01  1.073640925740e-01  -9.727161011991e-01  1.504595794575e+00
2.000000000000e+00  -1.291216063684e-01  8.530282940395e-02  -8.251022758662e-01  1.521082945364e+00
