# Temperature  Specific Heat (J/(K·mol))  Error
1.000000000000e-01  -6.554146492291e-01  9.060508148848e-01
1.170779913723e-01  -2.144882741123e+00  2.967160481792e+00
1.370725606377e-01  -5.568544129617e+00  7.713529815181e+00
1.604818007171e-01  -1.165926993394e+01  1.619012034918e+01
1.878888687977e-01  -1.970356175833e+01  2.748766963654e+01
2.199765136004e-01  -2.656868639154e+01  3.740390403445e+01
2.575440836141e-01  -2.821424503008e+01  4.045999875373e+01
3.015274399936e-01  -2.351239879924e+01  3.501572681107e+01
3.530222701807e-01  -1.542597663364e+01  2.484806760523e+01
4.133113830244e-01  -7.820801947949e+00  1.498345572139e+01
4.838966653580e-01  -2.634449126274e+00  8.057453768138e+00
5.665364961185e-01  1.365542698886e-01  4.346037964327e+00
6.632895500465e-01  1.287461845999e+00  3.039003050505e+00
7.765660821766e-01  1.601604614115e+00  2.795647937801e+00
9.091879706908e-01  1.585050903201e+00  2.685506332336e+00
1.064459013883e+00  1.482393274709e+00  2.467458829362e+00
1.246247232436e+00  1.374325450247e+00  2.149860786625e+00
1.459081227268e+00  1.267895412301e+00  1.792176917442e+00
1.708262993376e+00  1.152373916302e+00  1.446921858248e+00
2.000000000000e+00  1.022640705858e+00  1.143867600506e+00
