# Temperature  Energy (J/mol)  Error
1.000000000000e-01  -2.114112106167e+00  4.225224010230e+00
1.170779913723e-01  -2.114339804867e+00  4.223493085488e+00
1.370725606377e-01  -2.114731821234e+00  4.218158791725e+00
1.604818007171e-01  -2.114279501416e+00  4.205315946363e+00
1.878888687977e-01  -2.108367627473e+00  4.181377374504e+00
2.199765136004e-01  -2.084627812191e+00  4.148490124489e+00
2.575440836141e-01  -2.020739211734e+00  4.120863009356e+00
3.015274399936e-01  -1.890616255316e+00  4.123308219534e+00
3.530222701807e-01  -1.680202561617e+00  4.175112129262e+00
4.133113830244e-01  -1.400786094964e+00  4.269594675758e+00
4.838966653580e-01  -1.085458878838e+00  4.371214979960e+00
5.665364961185e-01  -7.722837934521e-01  4.433188633756e+00
6.632895500465e-01  -4.903393267185e-01  4.417506329260e+00
7.765660821766e-01  -2.559832413497e-01  4.306003891772e+00
9.091879706908e-01  -7.495083032447e-02  4.104320342291e+00
1.064459013883e+00  5.485329072936e-02  3.841592471290e+00
1.246247232436e+00  1.409861833530e-01  3.565284373891e+00
1.459081227268e+00  1.939686383334e-01  3.330040222226e+00
1.708262993376e+00  2.247253556589e-01  3.181517507617e+00
2.000000000000e+00  2.426145574706e-01  3.140760577080e+00
