# Temperature  Entropy (J/(K·mol))  Error
1.000000000000e-01  -6.370656035502e+01  7.095160775951e+01
1.170779913723e-01  -5.512645360961e+01  6.088253307723e+01
1.370725606377e-01  -4.779923439062e+01  5.225371467684e+01
1.604818007171e-01  -4.153531634381e+01  4.483096654041e+01
1.878888687977e-01  -3.615421401788e+01  3.842048478950e+01
2.199765136004e-01  -3.147138913531e+01  3.288636997812e+01
2.575440836141e-01  -2.730424593504e+01  2.815729048927e+01
3.015274399936e-01  -2.350813791014e+01  2.419793232306e+01
3.530222701807e-01  -2.001952105343e+01  2.095098801771e+01
4.133113830244e-01  -1.685810558994e+01  1.829902368113e+01
4.838966653580e-01  -1.407631328649e+01  1.608444776840e+01
5.665364961185e-01  -1.170352778671e+01  1.416104789727e+01
6.632895500465e-01  -9.727370831870e+00  1.242743778000e+01
7.765660821766e-01  -8.105656171323e+00  1.083039738513e+01
9.091879706908e-01  -6.784003245765e+00  9.353303692366e+00
1.064459013883e+00  -5.707335566264e+00  8.001238159313e+00
1.246247232436e+00  -4.825784247838e+00  6.786838981064e+00
1.459081227268e+00  -4.097541521247e+00  5.719560298353e+00
1.708262993376e+00  -3.489705769161e+00  4.800296328781e+00
2.000000000000e+00  -2.977561017693e+00  4.021090719069e+00
