# Temperature  Free Energy (J/mol)  Error
1.000000000000e-01  4.256543929336e+00  2.997836200876e+00
1.170779913723e-01  4.339754655223e+00  3.029325764652e+00
1.370725606377e-01  4.437231633208e+00  3.065934381641e+00
1.604818007171e-01  4.551382858794e+00  3.107626619682e+00
1.878888687977e-01  4.684606746617e+00  3.153477875267e+00
2.199765136004e-01  4.838338647956e+00  3.201679338241e+00
2.575440836141e-01  5.011307786381e+00  3.250545502569e+00
3.015274399936e-01  5.197732387745e+00  3.300645714919e+00
3.530222701807e-01  5.387134208596e+00  3.357038379655e+00
4.133113830244e-01  5.566860841587e+00  3.429929251037e+00
4.838966653580e-01  5.726022181030e+00  3.532906724180e+00
5.665364961185e-01  5.858191831055e+00  3.679302471303e+00
6.632895500465e-01  5.961724095488e+00  3.877910950836e+00
7.765660821766e-01  6.038594415086e+00  4.129601274512e+00
9.091879706908e-01  6.092983313852e+00  4.426390999870e+00
1.064459013883e+00  6.130078079495e+00  4.753517778056e+00
1.246247232436e+00  6.155106446553e+00  5.093373077316e+00
1.459081227268e+00  6.172614549936e+00  5.429394393575e+00
1.708262993376e+00  6.186060578886e+00  5.748588884885e+00
2.000000000000e+00  6.197736592856e+00  6.042415254371e+00
