# NLCE Partial Sum up to Order 1
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -7.624468781908e-01  5.400541204648e-03  -1.608886982180e+01  8.464401039889e-01
1.170779913723e-01  -7.622659687252e-01  1.735395306976e-02  -1.386272946593e+01  8.607545520833e-01
1.370725606377e-01  -7.616701347128e-01  4.484107325702e-02  -1.195807669282e+01  8.774540578731e-01
1.604818007171e-01  -7.600590900256e-01  9.588811563278e-02  -1.032447221007e+01  8.968308017007e-01
1.878888687977e-01  -7.563967200002e-01  1.735052456202e-01  -8.917428917945e+00  9.190889119762e-01
2.199765136004e-01  -7.492687515452e-01  2.700900947315e-01  -7.698663038643e+00  9.442563030800e-01
2.575440836141e-01  -7.372257905451e-01  3.664558725684e-01  -6.637077495548e+00  9.721142509218e-01
3.015274399936e-01  -7.193446464019e-01  4.390270591139e-01  -5.709394854542e+00  1.002194568001e+00
3.530222701807e-01  -6.956790280869e-01  4.721973788695e-01  -4.899260369141e+00  1.033868989634e+00
4.133113830244e-01  -6.672237504848e-01  4.662439676062e-01  -4.194701451646e+00  1.066494107869e+00
4.838966653580e-01  -6.353703547686e-01  4.341934857071e-01  -3.585269000140e+00  1.099529358811e+00
5.665364961185e-01  -6.012623379365e-01  3.917501917039e-01  -3.060400898866e+00  1.132566464025e+00
6.632895500465e-01  -5.654888430464e-01  3.493222046410e-01  -2.609367884216e+00  1.165277606781e+00
7.765660821766e-01  -5.282166721592e-01  3.103569152336e-01  -2.222034859306e+00  1.197340232992e+00
9.091879706908e-01  -4.895465850626e-01  2.740476980997e-01  -1.889533335201e+00  1.228394393522e+00
1.064459013883e+00  -4.498140874471e-01  2.387332333151e-01  -1.604445537588e+00  1.258052427323e+00
1.246247232436e+00  -4.096811400089e-01  2.038089874431e-01  -1.360585846660e+00  1.285945205882e+00
1.459081227268e+00  -3.700321070768e-01  1.699377444842e-01  -1.152647707338e+00  1.311774524354e+00
1.708262993376e+00  -3.317833318831e-01  1.383787693600e-01  -9.759217725064e-01  1.335347716519e+00
2.000000000000e+00  -2.957150332529e-01  1.102719241102e-01  -8.261506658731e-01  1.356586298493e+00
