# Temperature  Specific Heat (J/(K·mol))  Error
1.000000000000e-01  -8.131163996038e-03  8.494203476625e-02
1.170779913723e-01  -1.847666937996e-02  2.707944946867e-01
1.370725606377e-01  -1.467168938239e-02  6.855120345149e-01
1.604818007171e-01  7.563881552748e-02  1.414373048946e+00
1.878888687977e-01  4.022233906612e-01  2.429622694415e+00
2.199765136004e-01  1.135370296620e+00  3.540507256595e+00
2.575440836141e-01  2.291297360512e+00  4.451044531005e+00
3.015274399936e-01  3.571894511312e+00  4.876309851170e+00
3.530222701807e-01  4.474594514325e+00  4.626247494642e+00
4.133113830244e-01  4.663800101136e+00  3.687089968252e+00
4.838966653580e-01  4.195964564771e+00  2.276152845238e+00
5.665364961185e-01  3.373298222079e+00  8.173013740139e-01
6.632895500465e-01  2.485047381085e+00  9.839292772139e-01
7.765660821766e-01  1.698081363196e+00  2.015367979267e+00
9.091879706908e-01  1.078019334842e+00  2.693825308670e+00
1.064459013883e+00  6.338056942652e-01  2.972509621004e+00
1.246247232436e+00  3.444861545899e-01  2.918150410697e+00
1.459081227268e+00  1.744355492204e-01  2.638823625224e+00
1.708262993376e+00  8.524178203531e-02  2.244849975491e+00
2.000000000000e+00  4.426367758755e-02  1.823635522096e+00
