# Temperature  Energy (J/mol)  Error
1.000000000000e-01  -2.083637691650e+00  4.150272642340e+00
1.170779913723e-01  -2.100136676686e+00  4.127395509422e+00
1.370725606377e-01  -2.152787153362e+00  4.054305287502e+00
1.604818007171e-01  -2.289463300518e+00  3.864167785185e+00
1.878888687977e-01  -2.581537853483e+00  3.456357726930e+00
2.199765136004e-01  -3.095977237856e+00  2.733714330421e+00
2.575440836141e-01  -3.838717140953e+00  1.681911174022e+00
3.015274399936e-01  -4.712915952413e+00  4.852375582695e-01
3.530222701807e-01  -5.550437973488e+00  9.716786611223e-01
4.133113830244e-01  -6.201014641863e+00  2.037622879600e+00
4.838966653580e-01  -6.595966629973e+00  2.833656273908e+00
5.665364961185e-01  -6.745349990320e+00  3.346113955043e+00
6.632895500465e-01  -6.698709223754e+00  3.627994306878e+00
7.765660821766e-01  -6.510323512424e+00  3.743189645659e+00
9.091879706908e-01  -6.223603927097e+00  3.744407198827e+00
1.064459013883e+00  -5.869872830391e+00  3.669616916874e+00
1.246247232436e+00  -5.472595745919e+00  3.545877261393e+00
1.459081227268e+00  -5.051252902783e+00  3.393654488438e+00
1.708262993376e+00  -4.622981765797e+00  3.229227304980e+00
2.000000000000e+00  -4.202496473239e+00  3.065384884115e+00
