# Temperature  Entropy (J/(K·mol))  Error
1.000000000000e-01  -2.717885577967e+01  1.091538198101e+02
1.170779913723e-01  -2.126490582022e+01  9.682187543245e+01
1.370725606377e-01  -1.649572087641e+01  8.589780401853e+01
1.604818007171e-01  -1.298387409379e+01  7.578539137916e+01
1.878888687977e-01  -1.087426769554e+01  6.590080384932e+01
2.199765136004e-01  -1.016417356087e+01  5.590697038532e+01
2.575440836141e-01  -1.052017791798e+01  4.595751836230e+01
3.015274399936e-01  -1.130336776793e+01  3.666634574059e+01
3.530222701807e-01  -1.186689516484e+01  2.871296327081e+01
4.133113830244e-01  -1.186226468150e+01  2.242901138993e+01
4.838966653580e-01  -1.128682196092e+01  1.771924915139e+01
5.665364961185e-01  -1.032487772411e+01  1.425370530532e+01
6.632895500465e-01  -9.181931832811e+00  1.167677832597e+01
7.765660821766e-01  -8.007084161981e+00  9.709925807612e+00
9.091879706908e-01  -6.885885116251e+00  8.165500391742e+00
1.064459013883e+00  -5.859691091342e+00  6.923971327568e+00
1.246247232436e+00  -4.945100122324e+00  5.908009316712e+00
1.459081227268e+00  -4.145876394962e+00  5.064801201548e+00
1.708262993376e+00  -3.458707680209e+00  4.356434719862e+00
2.000000000000e+00  -2.875897222343e+00  3.755054411115e+00
