# Temperature  Free Energy (J/mol)  Error
1.000000000000e-01  6.342478863172e-01  6.767310590395e+00
1.170779913723e-01  3.895157834661e-01  7.211041099883e+00
1.370725606377e-01  1.083235467324e-01  7.723282755172e+00
1.604818007171e-01  -2.057878056616e-01  8.302163725079e+00
1.878888687977e-01  -5.383839971646e-01  8.931050022505e+00
2.199765136004e-01  -8.600977743057e-01  9.572604407497e+00
2.575440836141e-01  -1.129307559609e+00  1.017168260907e+01
3.015274399936e-01  -1.304640406044e+00  1.067144489114e+01
3.530222701807e-01  -1.361159702402e+00  1.103483479305e+01
4.133113830244e-01  -1.298205620551e+00  1.125560128909e+01
4.838966653580e-01  -1.134311120595e+00  1.135256892670e+01
5.665364961185e-01  -8.959299416496e-01  1.135555532440e+01
6.632895500465e-01  -6.084297898110e-01  1.129372399964e+01
7.765660821766e-01  -2.922935350959e-01  1.119032043800e+01
9.091879706908e-01  3.695998815760e-02  1.106219981133e+01
1.064459013883e+00  3.675281703591e-01  1.092131397935e+01
1.246247232436e+00  6.902215956447e-01  1.077629775238e+01
1.459081227268e+00  9.979175156803e-01  1.063349395106e+01
1.708262993376e+00  1.285400569208e+00  1.049746490740e+01
2.000000000000e+00  1.549297971447e+00  1.037125308209e+01
