# NLCE Partial Sum up to Order 1
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -7.497670729709e-01  2.328180875619e-02  -1.639274819469e+01  8.895077464979e-01
1.170779913723e-01  -7.489998873557e-01  7.281576584011e-02  -1.419773950155e+01  9.132429355129e-01
1.370725606377e-01  -7.465407145143e-01  1.828348108759e-01  -1.230971140460e+01  9.407829484247e-01
1.604818007171e-01  -7.401039302836e-01  3.766177027654e-01  -1.067050427575e+01  9.723178104494e-01
1.878888687977e-01  -7.261425291613e-01  6.434908498094e-01  -9.227329433170e+00  1.007569960061e+00
2.199765136004e-01  -7.008972745465e-01  9.150954803041e-01  -7.939314287305e+00  1.045565402753e+00
2.575440836141e-01  -6.627443378745e-01  1.086947257857e+00  -6.784880821457e+00  1.084661575719e+00
3.015274399936e-01  -6.141764858156e-01  1.093019745415e+00  -5.761212988380e+00  1.122987317828e+00
3.530222701807e-01  -5.610178756990e-01  9.578262792529e-01  -4.872517067780e+00  1.159089161063e+00
4.133113830244e-01  -5.092197239923e-01  7.626560197798e-01  -4.116847273190e+00  1.192320116190e+00
4.838966653580e-01  -4.622665026921e-01  5.781712715488e-01  -3.482192871215e+00  1.222755015822e+00
5.665364961185e-01  -4.208555987109e-01  4.354404362391e-01  -2.950720589056e+00  1.250835304838e+00
6.632895500465e-01  -3.839951215572e-01  3.354704057231e-01  -2.504234631865e+00  1.277037540624e+00
7.765660821766e-01  -3.502038971090e-01  2.671357909383e-01  -2.127184355451e+00  1.301695323871e+00
9.091879706908e-01  -3.182474996095e-01  2.185035564891e-01  -1.807335260126e+00  1.324959977903e+00
1.064459013883e+00  -2.874102288458e-01  1.810445562307e-01  -1.535286825425e+00  1.346839671374e+00
1.246247232436e+00  -2.574731977723e-01  1.499524002555e-01  -1.303704283043e+00  1.367264656885e+00
1.459081227268e+00  -2.285602126173e-01  1.230590422741e-01  -1.106660228319e+00  1.386146951487e+00
1.708262993376e+00  -2.009616604037e-01  9.962311219469e-02  -9.391894269533e-01  1.403420881430e+00
2.000000000000e+00  -1.749945896575e-01  7.946291201041e-02  -7.970287846941e-01  1.419062979731e+00
