# Temperature  Specific Heat (J/(K·mol))  Error
1.000000000000e-01  -5.015310178390e-01  6.971024462639e-01
1.170779913723e-01  -1.563823220388e+00  2.175519449898e+00
1.370725606377e-01  -3.903940435950e+00  5.439892204052e+00
1.604818007171e-01  -7.956245262804e+00  1.111979395345e+01
1.878888687977e-01  -1.333517591393e+01  1.873869748232e+01
2.199765136004e-01  -1.832874724545e+01  2.600963998494e+01
2.575440836141e-01  -2.051540000345e+01  2.963983294529e+01
3.015274399936e-01  -1.862683724901e+01  2.782303598780e+01
3.530222701807e-01  -1.371292276825e+01  2.182789834829e+01
4.133113830244e-01  -8.080596718914e+00  1.463799802966e+01
4.838966653580e-01  -3.483252733000e+00  8.582864296501e+00
5.665364961185e-01  -4.687725097647e-01  4.468131198599e+00
6.632895500465e-01  1.203534419325e+00  2.108349048572e+00
7.765660821766e-01  1.990120948329e+00  1.104005051027e+00
9.091879706908e-01  2.264570685281e+00  9.868992231449e-01
1.064459013883e+00  2.258127965755e+00  1.058713567964e+00
1.246247232436e+00  2.098484185793e+00  1.060311319103e+00
1.459081227268e+00  1.858182039020e+00  9.856880503974e-01
1.708262993376e+00  1.583844407556e+00  8.650655546099e-01
2.000000000000e+00  1.307878348520e+00  7.261542738262e-01
