# Temperature  Energy (J/mol)  Error
1.000000000000e-01  -2.101139088682e+00  4.184586627568e+00
1.170779913723e-01  -2.118478933160e+00  4.160274867965e+00
1.370725606377e-01  -2.174264746187e+00  4.082082117876e+00
1.604818007171e-01  -2.319453550873e+00  3.879101188595e+00
1.878888687977e-01  -2.627618952806e+00  3.452176433516e+00
2.199765136004e-01  -3.158991848825e+00  2.736131899744e+00
2.575440836141e-01  -3.896045418230e+00  1.836412824213e+00
3.015274399936e-01  -4.712347220233e+00  1.271482080853e+00
3.530222701807e-01  -5.432173038502e+00  1.637953170798e+00
4.133113830244e-01  -5.931671014890e+00  2.288408128209e+00
4.838966653580e-01  -6.185292947828e+00  2.778448612685e+00
5.665364961185e-01  -6.239993079177e+00  3.069351143012e+00
6.632895500465e-01  -6.165590997517e+00  3.222364900587e+00
7.765660821766e-01  -6.020805591732e+00  3.305534120433e+00
9.091879706908e-01  -5.842369429271e+00  3.366726265737e+00
1.064459013883e+00  -5.648312265529e+00  3.430460317234e+00
1.246247232436e+00  -5.445702538827e+00  3.503454649884e+00
1.459081227268e+00  -5.237339661571e+00  3.582355820769e+00
1.708262993376e+00  -5.025599899640e+00  3.660416456864e+00
2.000000000000e+00  -4.813738818835e+00  3.731647214935e+00
