# Temperature  Entropy (J/(K·mol))  Error
1.000000000000e-01  -4.932023666137e+01  9.133791764676e+01
1.170779913723e-01  -4.018296900511e+01  8.158047108546e+01
1.370725606377e-01  -3.267853062807e+01  7.284097129027e+01
1.604818007171e-01  -2.686639748737e+01  6.454756421637e+01
1.878888687977e-01  -2.283574985468e+01  5.615061643531e+01
2.199765136004e-01  -2.048992571652e+01  4.741656593081e+01
2.575440836141e-01  -1.935537882284e+01  3.868353003733e+01
3.015274399936e-01  -1.867901249192e+01  3.070636226232e+01
3.530222701807e-01  -1.781199566905e+01  2.412635933309e+01
4.133113830244e-01  -1.649664712190e+01  1.910950522196e+01
4.838966653580e-01  -1.482222635466e+01  1.542152282074e+01
5.665364961185e-01  -1.301005937101e+01  1.269138318038e+01
6.632895500465e-01  -1.124994451396e+01  1.059642880325e+01
7.765660821766e-01  -9.647524727535e+00  8.919446749797e+00
9.091879706908e-01  -8.238349432061e+00  7.534111132286e+00
1.064459013883e+00  -7.018684446257e+00  6.371315012115e+00
1.246247232436e+00  -5.969451666824e+00  5.390955137659e+00
1.459081227268e+00  -5.068977085414e+00  4.565137479105e+00
1.708262993376e+00  -4.297689291434e+00  3.870697953358e+00
2.000000000000e+00  -3.638815989083e+00  3.286997779257e+00
