# Temperature  Free Energy (J/mol)  Error
1.000000000000e-01  2.830884577456e+00  5.158015296448e+00
1.170779913723e-01  2.586062365333e+00  5.573378875823e+00
1.370725606377e-01  2.305065124879e+00  6.060147865363e+00
1.604818007171e-01  1.992114296682e+00  6.616377334569e+00
1.878888687977e-01  1.662964255536e+00  7.223814259708e+00
2.199765136004e-01  1.348310574225e+00  7.842289145171e+00
2.575440836141e-01  1.088817883702e+00  8.415789097357e+00
3.015274399936e-01  9.198875980620e-01  8.893155981890e+00
3.530222701807e-01  8.558581090343e-01  9.249915402250e+00
4.133113830244e-01  8.865810223267e-01  9.493497776648e+00
4.838966653580e-01  9.871329583741e-01  9.651142453912e+00
5.665364961185e-01  1.130680371170e+00  9.753654790604e+00
6.632895500465e-01  1.296379637194e+00  9.825164082973e+00
7.765660821766e-01  1.471134888632e+00  9.880331749804e+00
9.091879706908e-01  1.647838772706e+00  9.926030373545e+00
1.064459013883e+00  1.822789658891e+00  9.964408657157e+00
1.246247232436e+00  1.993710080110e+00  9.995578464489e+00
1.459081227268e+00  2.158709645209e+00  1.001931124498e+01
1.708262993376e+00  2.315983673943e+00  1.003579212919e+01
2.000000000000e+00  2.463893159331e+00  1.004574640961e+01
