# NLCE Partial Sum up to Order 2
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -2.527089464681e-01  -6.296999203003e-02  -5.931861014528e+00  3.404771549847e-01
1.170779913723e-01  -2.547944503995e-01  -1.984492040224e-01  -4.832900314853e+00  3.110318109659e-01
1.370725606377e-01  -2.615039415103e-01  -4.985951753280e-01  -3.930323837973e+00  2.772356110960e-01
1.604818007171e-01  -2.789661409758e-01  -1.015443483289e+00  -3.231284897320e+00  2.395962779762e-01
1.878888687977e-01  -3.160299196089e-01  -1.680728741385e+00  -2.746509414189e+00  2.000086273652e-01
2.199765136004e-01  -3.799393892190e-01  -2.242094738667e+00  -2.464371620576e+00  1.621644880911e-01
2.575440836141e-01  -4.685865578039e-01  -2.385247469842e+00  -2.327916993767e+00  1.309546910855e-01
3.015274399936e-01  -5.667650979565e-01  -2.013751286151e+00  -2.246568822275e+00  1.106370477935e-01
3.530222701807e-01  -6.533402443402e-01  -1.344465858299e+00  -2.142290667127e+00  1.029360703560e-01
4.133113830244e-01  -7.134160422995e-01  -6.886228640257e-01  -1.984090599659e+00  1.066311874914e-01
4.838966653580e-01  -7.439197494645e-01  -2.252376471919e-01  -1.782704070652e+00  1.187248056439e-01
5.665364961185e-01  -7.504986630830e-01  2.864012183928e-02  -1.564750479797e+00  1.359895910412e-01
6.632895500465e-01  -7.415501495016e-01  1.352367836721e-01  -1.353057320794e+00  1.559186319947e-01
7.765660821766e-01  -7.241364677720e-01  1.629955772638e-01  -1.160330519314e+00  1.769368576413e-01
9.091879706908e-01  -7.026755302881e-01  1.577944256760e-01  -9.908456878589e-01  1.981894499241e-01
1.064459013883e+00  -6.793358181919e-01  1.425906376096e-01  -8.441537076530e-01  2.192312050223e-01
1.246247232436e+00  -6.549674692069e-01  1.259907436573e-01  -7.179600102826e-01  2.397882066072e-01
1.459081227268e+00  -6.299071752558e-01  1.100550569826e-01  -6.096578117204e-01  2.596330928828e-01
1.708262993376e+00  -6.044407354321e-01  9.485487498714e-02  -5.168932123227e-01  2.785488107056e-01
2.000000000000e+00  -5.789597043019e-01  8.033518323741e-02  -4.376489685742e-01  2.963382328464e-01
