# Temperature  Specific Heat (J/(K·mol))  Error
1.000000000000e-01  -5.235616447991e-01  7.894790780726e-01
1.170779913723e-01  -1.649998488447e+00  2.490769425467e+00
1.370725606377e-01  -4.145550946857e+00  6.268177016507e+00
1.604818007171e-01  -8.442866882653e+00  1.279275307379e+01
1.878888687977e-01  -1.397435629150e+01  2.123191758928e+01
2.199765136004e-01  -1.864181289100e+01  2.846263815687e+01
2.575440836141e-01  -1.983205092304e+01  3.066235054485e+01
3.015274399936e-01  -1.674325979096e+01  2.676162960898e+01
3.530222701807e-01  -1.117851112021e+01  1.938112817801e+01
4.133113830244e-01  -5.725529060948e+00  1.207791628819e+01
4.838966653580e-01  -1.872729997778e+00  6.864270401887e+00
5.665364961185e-01  2.381272224121e-01  3.996819548512e+00
6.632895500465e-01  1.124421182441e+00  2.768181245006e+00
7.765660821766e-01  1.355220634085e+00  2.266328272061e+00
9.091879706908e-01  1.311975853636e+00  1.955573218364e+00
1.064459013883e+00  1.185564526104e+00  1.667078566302e+00
1.246247232436e+00  1.047545328372e+00  1.375091563184e+00
1.459081227268e+00  9.150486572206e-01  1.093878271302e+00
1.708262993376e+00  7.886673122302e-01  8.425097762571e-01
2.000000000000e+00  6.679438779500e-01  6.325138507442e-01
