# Temperature  Energy (J/mol)  Error
1.000000000000e-01  -2.118746342580e+00  4.220811294978e+00
1.170779913723e-01  -2.128636232656e+00  4.205815549213e+00
1.370725606377e-01  -2.160636415918e+00  4.157118046878e+00
1.604818007171e-01  -2.244456432649e+00  4.028834784573e+00
1.878888687977e-01  -2.424246944681e+00  3.751431288991e+00
2.199765136004e-01  -2.740226703722e+00  3.259128337092e+00
2.575440836141e-01  -3.192031743197e+00  2.551406689161e+00
3.015274399936e-01  -3.713060786652e+00  1.759441101291e+00
3.530222701807e-01  -4.194093989520e+00  1.186913690955e+00
4.133113830244e-01  -4.543022842851e+00  1.156477861268e+00
4.838966653580e-01  -4.723207746239e+00  1.426117414138e+00
5.665364961185e-01  -4.746768384505e+00  1.655589625262e+00
6.632895500465e-01  -4.647576761955e+00  1.768012730952e+00
7.765660821766e-01  -4.460543565534e+00  1.779854151421e+00
9.091879706908e-01  -4.213717412643e+00  1.722868464810e+00
1.064459013883e+00  -3.928310642462e+00  1.624624933420e+00
1.246247232436e+00  -3.620986620035e+00  1.505612065838e+00
1.459081227268e+00  -3.305543812195e+00  1.380364541824e+00
1.708262993376e+00  -2.993471304487e+00  1.258951184080e+00
2.000000000000e+00  -2.693866029272e+00  1.148036693363e+00
