# Temperature  Entropy (J/(K·mol))  Error
1.000000000000e-01  -3.891784389237e+01  9.914187935811e+01
1.170779913723e-01  -3.220972071301e+01  8.729496693201e+01
1.370725606377e-01  -2.665261196102e+01  7.691072194917e+01
1.604818007171e-01  -2.225247251055e+01  6.750070017575e+01
1.878888687977e-01  -1.904381857292e+01  5.858768494678e+01
2.199765136004e-01  -1.697201358085e+01  4.986978938327e+01
2.575440836141e-01  -1.577543360817e+01  4.140044821005e+01
3.015274399936e-01  -1.500665664290e+01  3.357881481348e+01
3.530222701807e-01  -1.423181121731e+01  2.686887974428e+01
4.133113830244e-01  -1.322610013046e+01  2.149056036861e+01
4.838966653580e-01  -1.198961041004e+01  1.735649443309e+01
5.665364961185e-01  -1.063333816816e+01  1.421441391118e+01
6.632895500465e-01  -9.273657751606e+00  1.179894581024e+01
7.765660821766e-01  -7.989205722154e+00  9.901384777543e+00
9.091879706908e-01  -6.820501626594e+00  8.376764352982e+00
1.064459013883e+00  -5.782769024669e+00  7.128177512180e+00
1.246247232436e+00  -4.877188343886e+00  6.090147812939e+00
1.459081227268e+00  -4.097553236589e+00  5.217072021439e+00
1.708262993376e+00  -3.433693229576e+00  4.476219106351e+00
2.000000000000e+00  -2.873365612705e+00  3.843517598840e+00
