# Temperature  Free Energy (J/mol)  Error
1.000000000000e-01  1.773038046656e+00  5.715971279093e+00
1.170779913723e-01  1.642413171085e+00  6.039105115076e+00
1.370725606377e-01  1.492705353261e+00  6.412571182340e+00
1.604818007171e-01  1.326660426253e+00  6.835577982605e+00
1.878888687977e-01  1.153874584573e+00  7.296887350602e+00
2.199765136004e-01  9.932176725729e-01  7.770263156180e+00
2.575440836141e-01  8.708378490356e-01  8.216087589353e+00
3.015274399936e-01  8.118579737432e-01  8.592717636854e+00
3.530222701807e-01  8.300523151970e-01  8.872364252929e+00
4.133113830244e-01  9.234748940900e-01  9.049761869545e+00
4.838966653580e-01  1.078524750118e+00  9.138374215571e+00
5.665364961185e-01  1.277405763329e+00  9.160107720030e+00
6.632895500465e-01  1.503543515393e+00  9.136655311312e+00
7.765660821766e-01  1.743602621822e+00  9.085465904101e+00
9.091879706908e-01  1.987400620333e+00  9.019171927350e+00
1.064459013883e+00  2.227209971051e+00  8.946465593850e+00
1.246247232436e+00  2.457195855600e+00  8.873168798376e+00
1.459081227268e+00  2.673119193044e+00  8.803055269095e+00
1.708262993376e+00  2.872179770202e+00  8.738407814154e+00
2.000000000000e+00  3.052865196139e+00  8.680410193412e+00
