# NLCE Partial Sum up to Order 2
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -2.548266123603e-01  -3.577751630580e-02  -4.680740738120e+00  2.132474614517e-01
1.170779913723e-01  -2.560160927308e-01  -1.134558804188e-01  -3.873938965422e+00  1.975369000395e-01
1.370725606377e-01  -2.598648301335e-01  -2.866908470242e-01  -3.205572408591e+00  1.795311882216e-01
1.604818007171e-01  -2.699460609455e-01  -5.883326456783e-01  -2.676357274368e+00  1.595605738075e-01
1.878888687977e-01  -2.915698892419e-01  -9.873483523559e-01  -2.290444908771e+00  1.387792137105e-01
2.199765136004e-01  -3.295735190076e-01  -1.349830037062e+00  -2.041264043186e+00  1.194566285504e-01
2.575440836141e-01  -3.839131751254e-01  -1.489298429871e+00  -1.897348551875e+00  1.047377189639e-01
3.015274399936e-01  -4.465785652274e-01  -1.315122486537e+00  -1.804885935759e+00  9.764407046231e-02
3.530222701807e-01  -5.044335613901e-01  -9.208642160846e-01  -1.711693451629e+00  9.983234675741e-02
4.133113830244e-01  -5.464000563225e-01  -4.905281241061e-01  -1.590734210722e+00  1.110685003350e-01
4.838966653580e-01  -5.680713189962e-01  -1.531127601942e-01  -1.442018680060e+00  1.297167116686e-01
5.665364961185e-01  -5.709050124468e-01  5.925367414947e-02  -1.278896623451e+00  1.536365995007e-01
6.632895500465e-01  -5.589750024022e-01  1.707140998688e-01  -1.115364657646e+00  1.808347195055e-01
7.765660821766e-01  -5.364800793975e-01  2.170506674177e-01  -9.608805871243e-01  2.097071935852e-01
9.091879706908e-01  -5.067937167031e-01  2.258563752561e-01  -8.203177932032e-01  2.390293530209e-01
1.064459013883e+00  -4.724671723083e-01  2.141743602383e-01  -6.955072492651e-01  2.678717883929e-01
1.246247232436e+00  -4.355045883698e-01  1.918812747660e-01  -5.865909281061e-01  2.955327323543e-01
1.459081227268e+00  -3.975655389896e-01  1.649336154345e-01  -4.928223776775e-01  3.215023406573e-01
1.708262993376e+00  -3.600318435434e-01  1.371531284158e-01  -4.129783712154e-01  3.454438250683e-01
2.000000000000e+00  -3.239976115101e-01  1.109788800394e-01  -3.455864491388e-01  3.671752867676e-01
