# Temperature  Specific Heat (J/(K·mol))  Error
1.000000000000e-01  -2.974708218950e-01  4.602508070745e-01
1.170779913723e-01  -9.433246765517e-01  1.467038844270e+00
1.370725606377e-01  -2.383680330550e+00  3.735232070322e+00
1.604818007171e-01  -4.891669789532e+00  7.754395813109e+00
1.878888687977e-01  -8.209270966758e+00  1.324818630458e+01
2.199765136004e-01  -1.122311138401e+01  1.862284112010e+01
2.575440836141e-01  -1.238271612244e+01  2.146616097397e+01
3.015274399936e-01  -1.093453675260e+01  2.033775859076e+01
3.530222701807e-01  -7.656491101030e+00  1.604673464718e+01
4.133113830244e-01  -4.078477751033e+00  1.076549363419e+01
4.838966653580e-01  -1.273050320997e+00  6.267551198576e+00
5.665364961185e-01  4.926624587040e-01  3.217630216167e+00
6.632895500465e-01  1.419396001751e+00  1.528882287782e+00
7.765660821766e-01  1.804659660490e+00  8.868258361609e-01
9.091879706908e-01  1.877874389139e+00  7.873274533133e-01
1.064459013883e+00  1.780744711968e+00  7.558388303109e-01
1.246247232436e+00  1.595389686166e+00  6.826438365262e-01
1.459081227268e+00  1.371334380007e+00  5.820272933701e-01
1.708262993376e+00  1.140354559176e+00  4.756713073394e-01
2.000000000000e+00  9.227297494924e-01  3.767778839469e-01
