# Temperature  Order_1
1.000000000000000056e-01 4.620992897521045140e-01
1.047615752789664845e-01 4.621007468607755686e-01
1.097498765493056250e-01 4.621033276846903681e-01
1.149756995397735598e-01 4.621077631154071885e-01
1.204503540258782118e-01 4.621151696683075683e-01
1.261856883066020396e-01 4.621272024066455097e-01
1.321941148466029003e-01 4.621462447448642652e-01
1.384886371393873050e-01 4.621756346628068668e-01
1.450828778495939775e-01 4.622199230628418198e-01
1.519911082952933867e-01 4.622851555062358342e-01
1.592282793341092129e-01 4.623791637617272188e-01
1.668100537200058742e-01 4.625118489959857970e-01
1.747528400007683780e-01 4.626954345998733342e-01
1.830738280295368392e-01 4.629446641279043595e-01
1.917910261672488847e-01 4.632769190897543798e-01
2.009233002565046777e-01 4.637122326716029974e-01
2.104904144512020903e-01 4.642731789786482266e-01
2.205130739903045645e-01 4.649846229579904233e-01
2.310129700083159709e-01 4.658733234600737072e-01
2.420128264794382256e-01 4.669673904382870000e-01
2.535364493970111988e-01 4.682956064693242770e-01
2.656087782946686682e-01 4.698866319463029795e-01
2.782559402207124277e-01 4.717681217982268027e-01
2.915053062825177510e-01 4.739657888162706056e-01
3.053855508833415722e-01 4.765024540961649291e-01
3.199267137797383587e-01 4.793971283232050240e-01
3.351602650938842465e-01 4.826641683485535794e-01
3.511191734215131643e-01 4.863125515948643063e-01
3.678379771828634293e-01 4.903453063072470974e-01
3.853528593710529582e-01 4.947591287227801615e-01
4.037017258596554692e-01 4.995442092307454396e-01
4.229242874389498863e-01 5.046842790633039311e-01
4.430621457583880929e-01 5.101568776592705357e-01
4.641588833612779741e-01 5.159338293470844272e-01
4.862601580065354367e-01 5.219819072005364990e-01
5.094138014816380622e-01 5.282636526022770340e-01
5.336699231206309957e-01 5.347383118656344747e-01
5.590810182512223614e-01 5.413628466958417818e-01
5.857020818056667411e-01 5.480929735678590209e-01
6.135907273413173657e-01 5.548841882552104643e-01
6.428073117284321958e-01 5.616927355098608743e-01
6.734150657750822555e-01 5.684764898030472136e-01
7.054802310718643055e-01 5.751957204767202958e-01
7.390722033525778389e-01 5.818137229351560968e-01
7.742636826811271078e-01 5.882973059389359216e-01
8.111308307896872849e-01 5.946171330325403792e-01
8.497534359086444944e-01 6.007479231487070637e-01
8.902150854450388007e-01 6.066685211468841876e-01
9.326033468832198858e-01 6.123618532797469038e-01
9.770099572992253512e-01 6.178147853104022369e-01
1.023531021899026339e+00 6.230179023169489794e-01
1.072267222010323762e+00 6.279652293041757538e-01
1.123324032978027631e+00 6.326539108326084682e-01
1.176811952434998476e+00 6.370838662327791280e-01
1.232846739442066575e+00 6.412574348516811851e-01
1.291549665014884107e+00 6.451790234077823261e-01
1.353047774579807516e+00 6.488547651018171658e-01
1.417474162926805503e+00 6.522921977910312030e-01
1.484968262254465099e+00 6.554999663895909601e-01
1.555676143930472266e+00 6.584875527732486633e-01
1.629750834620644184e+00 6.612650348745134909e-01
1.707352647470691265e+00 6.638428753618226263e-01
1.788649529057435128e+00 6.662317392896390800e-01
1.873817422860384996e+00 6.684423393604425057e-01
1.963040650040271506e+00 6.704853069212841632e-01
2.056512308348651619e+00 6.723710864909782092e-01
2.154434690031884259e+00 6.741098514431960176e-01
2.257019719633920118e+00 6.757114384220346270e-01
2.364489412645408350e+00 6.771852981099054647e-01
2.477076355991711498e+00 6.785404600768311090e-01
2.595024211399737268e+00 6.797855095938043490e-01
2.718588242732941307e+00 6.809285744732752610e-01
2.848035868435801810e+00 6.819773201934347107e-01
2.983647240283340274e+00 6.829389517594209869e-01
3.125715849688236680e+00 6.838202209464067094e-01
3.274549162877729902e+00 6.846274377515528808e-01
3.430469286314919319e+00 6.853664850507262818e-01
3.593813663804627634e+00 6.860428356097911795e-01
3.764935806792469197e+00 6.866615707384323697e-01
3.944206059437656009e+00 6.872273999968135927e-01
4.132012400115338657e+00 6.877446814725179935e-01
4.328761281083059131e+00 6.882174422380381573e-01
4.534878508128584507e+00 6.886493986787403099e-01
4.750810162102798273e+00 6.890439764489593166e-01
4.977023564332111683e+00 6.894043298709603418e-01
5.214008287999686964e+00 6.897333606391925498e-01
5.462277217684342823e+00 6.900337357317384290e-01
5.722367659350219959e+00 6.903079044632411954e-01
5.994842503189412142e+00 6.905581146398827030e-01
6.280291441834256361e+00 6.907864277980757528e-01
6.579332246575682497e+00 6.909947335252563105e-01
6.892612104349698399e+00 6.911847628741911720e-01
7.220809018385467404e+00 6.913581008921910742e-01
7.564633275546290392e+00 6.915161982940555285e-01
7.924828983539177862e+00 6.916603823129356954e-01
8.302175681319747369e+00 6.917918667669596955e-01
8.697490026177835176e+00 6.919117613817732382e-01
9.111627561154895361e+00 6.920210804103480440e-01
9.545484566618341660e+00 6.921207505917584824e-01
1.000000000000000000e+01 6.922116184903094327e-01
