# Temperature  Order_1  Order_2
1.000000000000000056e-01 -2.499995970490394570e-01 -2.477489349214330727e-01
1.047615752789664845e-01 -2.499994475577948794e-01 -2.471731704431756327e-01
1.097498765493056250e-01 -2.499991702046739928e-01 -2.464863105406780441e-01
1.149756995397735598e-01 -2.499986709023528930e-01 -2.456750272081919539e-01
1.204503540258782118e-01 -2.499977975305607836e-01 -2.447258419793814643e-01
1.261856883066020396e-01 -2.499963112362749984e-01 -2.436253617621647882e-01
1.321941148466029003e-01 -2.499938473543910356e-01 -2.423605372366768596e-01
1.384886371393873050e-01 -2.499898639064529193e-01 -2.409189423668819108e-01
1.450828778495939775e-01 -2.499835758890876225e-01 -2.392890739377171727e-01
1.519911082952933867e-01 -2.499738740942879789e-01 -2.374606701621101712e-01
1.592282793341092129e-01 -2.499592280352195273e-01 -2.354250471101980713e-01
1.668100537200058742e-01 -2.499375736773727097e-01 -2.331754508161033856e-01
1.747528400007683780e-01 -2.499061880534571845e-01 -2.307074212761006382e-01
1.830738280295368392e-01 -2.498615543933288274e-01 -2.280191620958688381e-01
1.917910261672488847e-01 -2.497992230181328155e-01 -2.251119063006928600e-01
2.009233002565046777e-01 -2.497136747991788863e-01 -2.219902649394052685e-01
2.104904144512020903e-01 -2.495981953248080365e-01 -2.186625408770849766e-01
2.205130739903045645e-01 -2.494447689131256973e-01 -2.151409860106342220e-01
2.310129700083159709e-01 -2.492440021301508268e-01 -2.114419766094007558e-01
2.420128264794382256e-01 -2.489850864221223037e-01 -2.075860792221348450e-01
2.535364493970111988e-01 -2.486558087809885853e-01 -2.035979792706613667e-01
2.656087782946686682e-01 -2.482426180057202836e-01 -1.995062466806608037e-01
2.782559402207124277e-01 -2.477307521132894041e-01 -1.953429181348342591e-01
2.915053062825177510e-01 -2.471044298501956227e-01 -1.911428839674267077e-01
3.053855508833415722e-01 -2.463471061612021729e-01 -1.869430791953863580e-01
3.199267137797383587e-01 -2.454417880333983615e-01 -1.827814921342912069e-01
3.351602650938842465e-01 -2.443714035388741823e-01 -1.786960194893451870e-01
3.511191734215131643e-01 -2.431192133710876058e-01 -1.747232123841029883e-01
3.678379771828634293e-01 -2.416692509553914903e-01 -1.708969718765653845e-01
3.853528593710529582e-01 -2.400067745679446973e-01 -1.672472634166305150e-01
4.037017258596554692e-01 -2.381187130606848557e-01 -1.637989258585222652e-01
4.229242874389498863e-01 -2.359940859660006607e-01 -1.605706508589022918e-01
4.430621457583880929e-01 -2.336243790818436916e-01 -1.575742021383718661e-01
4.641588833612779741e-01 -2.310038581680121661e-01 -1.548139312485868890e-01
4.862601580065354367e-01 -2.281298060668978389e-01 -1.522866280255212035e-01
5.094138014816380622e-01 -2.250026722405275292e-01 -1.499817213889488576e-01
5.336699231206309957e-01 -2.216261281366257996e-01 -1.478818216806911390e-01
5.590810182512223614e-01 -2.180070266314626248e-01 -1.459635717187741377e-01
5.857020818056667411e-01 -2.141552686771369118e-01 -1.441987525592492436e-01
6.135907273413173657e-01 -2.100835848349609514e-01 -1.425555736485220326e-01
6.428073117284321958e-01 -2.058072432728304257e-01 -1.410000670696238967e-01
6.734150657750822555e-01 -2.013436987842299741e-01 -1.394975026259702711e-01
7.054802310718643055e-01 -1.967121992883615889e-01 -1.380137444397191437e-01
7.390722033525778389e-01 -1.919333670408190085e-01 -1.365164796943432457e-01
7.742636826811271078e-01 -1.870287714720209882e-01 -1.349762646687012457e-01
8.111308307896872849e-01 -1.820205093137915731e-01 -1.333673504953480082e-01
8.497534359086444944e-01 -1.769308056738020662e-01 -1.316682692460734716e-01
8.902150854450388007e-01 -1.717816472084698620e-01 -1.298621782717021833e-01
9.326033468832198858e-01 -1.665944557692097261e-01 -1.279369758051458472e-01
9.770099572992253512e-01 -1.613898080788017109e-01 -1.258852127257912845e-01
1.023531021899026339e+00 -1.561872043227768569e-01 -1.237038336058291221e-01
1.072267222010323762e+00 -1.510048861578998924e-01 -1.213937846834336753e-01
1.123324032978027631e+00 -1.458597026395098695e-01 -1.189595275598385182e-01
1.176811952434998476e+00 -1.407670209982024856e-01 -1.164084957706386092e-01
1.232846739442066575e+00 -1.357406780602725682e-01 -1.137505276410988309e-01
1.291549665014884107e+00 -1.307929673801455084e-01 -1.109973037341082658e-01
1.353047774579807516e+00 -1.259346567895487656e-01 -1.081618114179566936e-01
1.417474162926805503e+00 -1.211750310074944381e-01 -1.052578531929678207e-01
1.484968262254465099e+00 -1.165219541324734598e-01 -1.022996098604747051e-01
1.555676143930472266e+00 -1.119819471899936442e-01 -9.930126469444765236e-02
1.629750834620644184e+00 -1.075602763765909076e-01 -9.627669065637631252e-02
