# Temperature  Entropy
1.000000000000000056e-01 2.470153197947382862e-01
1.047615752789664845e-01 2.574729024053916682e-01
1.097498765493056250e-01 2.682528006080648897e-01
1.149756995397735598e-01 2.792426804642600957e-01
1.204503540258782118e-01 2.903220191143850992e-01
1.261856883066020396e-01 3.013652598462488452e-01
1.321941148466029003e-01 3.122452213475363503e-01
1.384886371393873050e-01 3.228366461952832944e-01
1.450828778495939775e-01 3.330197717945310165e-01
1.519911082952933867e-01 3.426838083286309344e-01
1.592282793341092129e-01 3.517302119441072517e-01
1.668100537200058742e-01 3.600756468926024634e-01
1.747528400007683780e-01 3.676545376135466614e-01
1.830738280295368392e-01 3.744211209625062375e-01
1.917910261672488847e-01 3.803509202574946735e-01
2.009233002565046777e-01 3.854415767800964954e-01
2.104904144512020903e-01 3.897129909794659341e-01
2.205130739903045645e-01 3.932067449541608029e-01
2.310129700083159709e-01 3.959847998518349343e-01
2.420128264794382256e-01 3.981274865993741918e-01
2.535364493970111988e-01 3.997308356885895253e-01
2.656087782946686682e-01 4.009033211225493942e-01
2.782559402207124277e-01 4.017621240895198342e-01
2.915053062825177510e-01 4.024290518197469746e-01
3.053855508833415722e-01 4.030262740233500063e-01
3.199267137797383587e-01 4.036720603682080744e-01
3.351602650938842465e-01 4.044767144723316887e-01
3.511191734215131643e-01 4.055388999750842438e-01
3.678379771828634293e-01 4.069425403920208795e-01
3.853528593710529582e-01 4.087544460074694630e-01
4.037017258596554692e-01 4.110227791159443145e-01
4.229242874389498863e-01 4.137764164077327722e-01
4.430621457583880929e-01 4.170252087171725242e-01
4.641588833612779741e-01 4.207610792848609504e-01
4.862601580065354367e-01 4.249598480087777297e-01
5.094138014816380622e-01 4.295836262299935204e-01
5.336699231206309957e-01 4.345835984759002790e-01
5.590810182512223614e-01 4.399029964668136894e-01
5.857020818056667411e-01 4.454800766620108377e-01
6.135907273413173657e-01 4.512509337323316050e-01
6.428073117284321958e-01 4.571520150260300897e-01
6.734150657750822555e-01 4.631222407721107825e-01
7.054802310718643055e-01 4.691046765950083741e-01
7.390722033525778389e-01 4.750477444588200870e-01
7.742636826811271078e-01 4.809059919231241653e-01
8.111308307896872849e-01 4.866404653336611208e-01
8.497534359086444944e-01 4.922187493730745267e-01
8.902150854450388007e-01 4.976147435318806211e-01
9.326033468832198858e-01 5.028082467043687442e-01
9.770099572992253512e-01 5.077844159965150261e-01
1.023531021899026339e+00 5.125331568833848550e-01
1.072267222010323762e+00 5.170484909121422223e-01
1.123324032978027631e+00 5.213279357629299060e-01
1.176811952434998476e+00 5.253719218051178252e-01
1.232846739442066575e+00 5.291832600550031573e-01
1.291549665014884107e+00 5.327666690109784664e-01
1.353047774579807516e+00 5.361283622733892251e-01
1.417474162926805503e+00 5.392756950028938512e-01
1.484968262254465099e+00 5.422168648670651070e-01
1.555676143930472266e+00 5.449606618570960181e-01
1.629750834620644184e+00 5.475162609150352466e-01
1.707352647470691265e+00 5.498930514239152023e-01
1.788649529057435128e+00 5.521004980570800580e-01
1.873817422860384996e+00 5.541480280929809155e-01
1.963040650040271506e+00 5.560449409626371242e-01
2.056512308348651619e+00 5.578003364361181493e-01
2.154434690031884259e+00 5.594230584316831623e-01
2.257019719633920118e+00 5.609216519290951553e-01
2.364489412645408350e+00 5.623043308850796951e-01
2.477076355991711498e+00 5.635789553900041327e-01
2.595024211399737268e+00 5.647530165812257863e-01
2.718588242732941307e+00 5.658336280518538874e-01
2.848035868435801810e+00 5.668275226749948104e-01
2.983647240283340274e+00 5.677410539124447819e-01
3.125715849688236680e+00 5.685802008011127118e-01
3.274549162877729902e+00 5.693505759161463509e-01
3.430469286314919319e+00 5.700574357011780613e-01
3.593813663804627634e+00 5.707056926365200455e-01
3.764935806792469197e+00 5.712999287876308063e-01
3.944206059437656009e+00 5.718444103401065792e-01
4.132012400115338657e+00 5.723431027850431896e-01
4.328761281083059131e+00 5.727996864701601076e-01
4.534878508128584507e+00 5.732175722783974248e-01
4.750810162102798273e+00 5.735999172369000698e-01
4.977023564332111683e+00 5.739496398958149337e-01
5.214008287999686964e+00 5.742694353484464331e-01
5.462277217684342823e+00 5.745617897923341877e-01
5.722367659350219959e+00 5.748289945550324465e-01
5.994842503189412142e+00 5.750731595291510567e-01
6.280291441834256361e+00 5.752962259787535171e-01
6.579332246575682497e+00 5.754999786941158435e-01
6.892612104349698399e+00 5.756860574839629541e-01
7.220809018385467404e+00 5.758559680044504914e-01
7.564633275546290392e+00 5.760110919321812517e-01
7.924828983539177862e+00 5.761526964950278717e-01
8.302175681319747369e+00 5.762819433794206248e-01
8.697490026177835176e+00 5.763998970365649122e-01
9.111627561154895361e+00 5.765075324127098000e-01
9.545484566618341660e+00 5.766057421304784381e-01
1.000000000000000000e+01 5.766953431492940485e-01
