# Temperature  Order_1  Order_2  Order_3
1.000000000000000056e-01 4.620992897521045140e-01 -4.917265756291507306e-01 -3.982365900773603973e-01
1.047615752789664845e-01 4.621007468607755686e-01 -4.861047507714127414e-01 -3.564106309607600886e-01
1.097498765493056250e-01 4.621033276846903681e-01 -4.797027500884474827e-01 -3.132987806218116011e-01
1.149756995397735598e-01 4.621077631154071885e-01 -4.724844581691771128e-01 -2.693525674891812383e-01
1.204503540258782118e-01 4.621151696683075683e-01 -4.644227610956787045e-01 -2.250574325473823079e-01
1.261856883066020396e-01 4.621272024066455097e-01 -4.555005869468665702e-01 -1.809205678349412594e-01
1.321941148466029003e-01 4.621462447448642652e-01 -4.457117502957244626e-01 -1.374578488444473390e-01
1.384886371393873050e-01 4.621756346628068668e-01 -4.350615975501103128e-01 -9.518031920728753370e-02
1.450828778495939775e-01 4.622199230628418198e-01 -4.235674574792374636e-01 -5.458068201040133793e-02
1.519911082952933867e-01 4.622851555062358342e-01 -4.112589053151268770e-01 -1.612023320418382033e-02
1.592282793341092129e-01 4.623791637617272188e-01 -3.981778491140061660e-01 1.978335649124735030e-02
1.668100537200058742e-01 4.625118489959857970e-01 -3.843784437775075724e-01 5.276704058245235140e-02
1.747528400007683780e-01 4.626954345998733342e-01 -3.699268319066452704e-01 8.253184665456658742e-02
1.830738280295368392e-01 4.629446641279043595e-01 -3.549007025594593800e-01 1.088504914663118162e-01
1.917910261672488847e-01 4.632769190897543798e-01 -3.393886504151883421e-01 1.315729237607154989e-01
2.009233002565046777e-01 4.637122326716029974e-01 -3.234893104486851190e-01 1.506296091055769337e-01
2.104904144512020903e-01 4.642731789786482266e-01 -3.073102386945967823e-01 1.660324269819190568e-01
2.205130739903045645e-01 4.649846229579904233e-01 -2.909665096207957879e-01 1.778731109426719970e-01
2.310129700083159709e-01 4.658733234600737072e-01 -2.745790063032930162e-01 1.863192290271185603e-01
2.420128264794382256e-01 4.669673904382870000e-01 -2.582723917336266495e-01 1.916077750826357673e-01
2.535364493970111988e-01 4.682956064693242770e-01 -2.421727682095850542e-01 1.940365233463853256e-01
2.656087782946686682e-01 4.698866319463029795e-01 -2.264050560221569919e-01 1.939533886512886940e-01
2.782559402207124277e-01 4.717681217982268027e-01 -2.110901508195019982e-01 1.917441309633989843e-01
2.915053062825177510e-01 4.739657888162706056e-01 -1.963419485370071493e-01 1.878188408301759704e-01
3.053855508833415722e-01 4.765024540961649291e-01 -1.822643544347070654e-01 1.825977338049052934e-01
3.199267137797383587e-01 4.793971283232050240e-01 -1.689484150735478529e-01 1.764968565032172809e-01
3.351602650938842465e-01 4.826641683485535794e-01 -1.564697255960085243e-01 1.699143528436661277e-01
3.511191734215131643e-01 4.863125515948643063e-01 -1.448862666404404642e-01 1.632179451157440009e-01
3.678379771828634293e-01 4.903453063072470974e-01 -1.342368138321581861e-01 1.567342426463421701e-01
3.853528593710529582e-01 4.947591287227801615e-01 -1.245400376727610059e-01 1.507403978615374784e-01
4.037017258596554692e-01 4.995442092307454396e-01 -1.157943740050119685e-01 1.454584887715408281e-01
4.229242874389498863e-01 5.046842790633039311e-01 -1.079786978640064898e-01 1.410528284410193234e-01
4.430621457583880929e-01 5.101568776592705357e-01 -1.010537805829477831e-01 1.376302018908783786e-01
4.641588833612779741e-01 5.159338293470844272e-01 -9.496445654096807854e-02 1.352428290981905756e-01
4.862601580065354367e-01 5.219819072005364990e-01 -8.964237723716927952e-02 1.338936704335015049e-01
5.094138014816380622e-01 5.282636526022770340e-01 -8.500919136112328189e-02 1.335435471131429519e-01
5.336699231206309957e-01 5.347383118656344747e-01 -8.097996406876994957e-02 1.341194583066977197e-01
5.590810182512223614e-01 5.413628466958417818e-01 -7.746663907520234815e-02 1.355234457797293846e-01
5.857020818056667411e-01 5.480929735678590209e-01 -7.438135392061995255e-02 1.376413859444662879e-01
6.135907273413173657e-01 5.548841882552104643e-01 -7.163944048782244778e-02 1.403511701636951103e-01
6.428073117284321958e-01 5.616927355098608743e-01 -6.916197659182321544e-02 1.435298535745377357e-01
6.734150657750822555e-01 5.684764898030472136e-01 -6.687779614310884746e-02 1.470594936793014340e-01
7.054802310718643055e-01 5.751957204767202958e-01 -6.472491039516559130e-02 1.508315449498725813e-01
7.390722033525778389e-01 5.818137229351560968e-01 -6.265133660525989967e-02 1.547498090298120299e-01
7.742636826811271078e-01 5.882973059389359216e-01 -6.061536918392407269e-02 1.587320498756888687e-01
8.111308307896872849e-01 5.946171330325403792e-01 -5.858535923412333535e-02 1.627104622370234843e-01
8.497534359086444944e-01 6.007479231487070637e-01 -5.653908966909504397e-02 1.666312280461767770e-01
8.902150854450388007e-01 6.066685211468841876e-01 -5.446284446846505478e-02 1.704534106868700327e-01
9.326033468832198858e-01 6.123618532797469038e-01 -5.235027277916370902e-02 1.741474269782341822e-01
9.770099572992253512e-01 6.178147853104022369e-01 -5.020114298376110451e-02 1.776933080548536159e-01
1.023531021899026339e+00 6.230179023169489794e-01 -4.802007050993861714e-02 1.810789205826923987e-01
1.072267222010323762e+00 6.279652293041757538e-01 -4.581528816124835757e-02 1.842982757360417945e-01
1.123324032978027631e+00 6.326539108326084682e-01 -4.359751111838627846e-02 1.873500105538939697e-01
1.176811952434998476e+00 6.370838662327791280e-01 -4.137893219498933739e-02 1.902360885221339171e-01
1.232846739442066575e+00 6.412574348516811851e-01 -3.917236772438148495e-02 1.929607356649691574e-01
1.291549665014884107e+00 6.451790234077823261e-01 -3.699056145411261376e-02 1.955296058205667487e-01
1.353047774579807516e+00 6.488547651018171658e-01 -3.484564347094287751e-02 1.979491537881055974e-01
1.417474162926805503e+00 6.522921977910312030e-01 -3.274873356385876733e-02 2.002261866384816291e-01
1.484968262254465099e+00 6.554999663895909601e-01 -3.070967339273422692e-02 2.023675602994877143e-01
1.555676143930472266e+00 6.584875527732486633e-01 -2.873686903418837257e-02 2.043799891086379994e-01
1.629750834620644184e+00 6.612650348745134909e-01 -2.683722450526837555e-02 2.062699390366004026e-01
1.707352647470691265e+00 6.638428753618226263e-01 -2.501614727814938099e-02 2.080435796101927914e-01
1.788649529057435128e+00 6.662317392896390800e-01 -2.327760817701207685e-02 2.097067743594030198e-01
1.873817422860384996e+00 6.684423393604425057e-01 -2.162424002586604832e-02 2.112650942905961171e-01
1.963040650040271506e+00 6.704853069212841632e-01 -2.005746169452127248e-02 2.127238430866957297e-01
2.056512308348651619e+00 6.723710864909782092e-01 -1.857761654061840240e-02 2.140880862715376920e-01
2.154434690031884259e+00 6.741098514431960176e-01 -1.718411650568718585e-02 2.153626793971445408e-01
2.257019719633920118e+00 6.757114384220346270e-01 -1.587558518695808552e-02 2.165522924502769064e-01
2.364489412645408350e+00 6.771852981099054647e-01 -1.464999501478592148e-02 2.176614292106024140e-01
2.477076355991711498e+00 6.785404600768311090e-01 -1.350479519394121031e-02 2.186944413295234257e-01
2.595024211399737268e+00 6.797855095938043490e-01 -1.243702831707782508e-02 2.196555375434903201e-01
2.718588242732941307e+00 6.809285744732752610e-01 -1.144343454831819873e-02 2.205487887875899611e-01
2.848035868435801810e+00 6.819773201934347107e-01 -1.052054303195548712e-02 2.213781301196750817e-01
2.983647240283340274e+00 6.829389517594209869e-01 -9.664750738194727298e-03 2.221473603715162226e-01
3.125715849688236680e+00 6.838202209464067094e-01 -8.872389348026143985e-03 2.228601403652306079e-01
3.274549162877729902e+00 6.846274377515528808e-01 -8.139781034681492500e-03 2.235199904099265666e-01
