# Temperature  Order_1  Order_2  Order_3
1.000000000000000056e-01 2.294263706617262694e-05 1.127717031414436910e-01 8.823293385195829508e-01
1.047615752789664845e-01 4.133608597341995760e-05 1.290972855078835746e-01 9.145233923090834161e-01
1.097498765493056250e-01 7.220335611258436696e-05 1.462875564049787303e-01 9.374555501198363894e-01
1.149756995397735598e-01 1.224444052735542267e-04 1.641615349061670004e-01 9.502749573715004727e-01
1.204503540258782118e-01 2.018634290840249995e-04 1.825138401238114993e-01 9.523792390192951096e-01
1.261856883066020396e-01 3.239443479369872193e-04 2.011188017351473456e-01 9.434388321697850799e-01
1.321941148466029003e-01 5.066506438282658564e-04 2.197347398634294235e-01 9.234115556839818106e-01
1.384886371393873050e-01 7.731773176348362940e-04 2.381082208443821846e-01 8.925473065393468852e-01
1.450828778495939775e-01 1.152564672623198477e-03 2.559781629188370156e-01 8.513831477256784686e-01
1.519911082952933867e-01 1.680072330015027794e-03 2.730797449155787371e-01 8.007293178696398561e-01
1.592282793341092129e-01 2.397210390123810739e-03 2.891481515293267690e-01 7.416468693226412334e-01
1.668100537200058742e-01 3.351334967732100267e-03 3.039222605348613770e-01 6.754177603457598433e-01
1.747528400007683780e-01 4.594737958904964760e-03 3.171484304634166196e-01 6.035083165125068039e-01
1.830738280295368392e-01 6.183194652097837030e-03 3.285845734782518734e-01 5.275270558760614126e-01
1.917910261672488847e-01 8.173974905241800440e-03 3.380046911834750922e-01 4.491779512740700087e-01
2.009233002565046777e-01 1.062337008867994363e-02 3.452040075755473669e-01 3.702102863205795069e-01
2.104904144512020903e-01 1.358383422268090619e-02 3.500047536838672424e-01 2.923663544002095271e-01
2.205130739903045645e-01 1.710087910093399319e-02 3.522625473044043720e-01 2.173283608796829913e-01
2.310129700083159709e-01 2.120989565822208045e-02 3.518731778351945616e-01 1.466660265816934205e-01
2.420128264794382256e-01 2.593309439017992338e-02 3.487794641869604306e-01 8.178655754288760571e-02
2.535364493970111988e-01 3.127676447382291697e-02 3.429777202226805266e-01 2.388882946026071874e-02
2.656087782946686682e-01 3.722904381928111156e-02 3.345232563670063608e-01 -2.607619836269980951e-02
2.782559402207124277e-01 4.375837116186342968e-02 3.235342869245831365e-01 -6.743672914977622002e-02
2.915053062825177510e-01 5.081275792231687571e-02 3.101936164235934434e-01 -9.982096582752608693e-02
3.053855508833415722e-01 5.831997403085681375e-02 2.947475554742415849e-01 -1.231657129358736391e-01
3.199267137797383587e-01 6.618869082386005798e-02 2.775016696119766424e-01 -1.377114055687636007e-01
3.351602650938842465e-01 7.431056845516352538e-02 2.588131860081674396e-01 -1.439829703766181135e-01
3.511191734215131643e-01 8.256321830436233467e-02 2.390801552386240536e-01 -1.427568816897037685e-01
3.678379771828634293e-01 9.081391615710096565e-02 2.187277619336371604e-01 -1.350158618125044951e-01
3.853528593710529582e-01 9.892389317630904955e-02 1.981924662423364958e-01 -1.218937621290713813e-01
4.037017258596554692e-01 1.067529925412485092e-01 1.779049025741215317e-01 -1.046141043010578031e-01
4.229242874389498863e-01 1.141644534364622821e-01 1.582726306657154802e-01 -8.442641719436877468e-02
4.430621457583880929e-01 1.210295734536438045e-01 1.396639019215723532e-01 -6.254476527899005545e-02
4.641588833612779741e-01 1.272320069519744801e-01 1.223935581981724641e-01 -4.009267148706621708e-02
4.862601580065354367e-01 1.326714805914920026e-01 1.067120220335100178e-01 -1.805800120431315381e-02
5.094138014816380622e-01 1.372667465630005024e-01 9.279808270368936074e-02 2.739630068847892508e-03
5.336699231206309957e-01 1.409576458353488937e-01 8.075586005168436388e-02 2.166760471532880317e-02
5.590810182512223614e-01 1.437062135416849185e-01 7.061597507214970038e-02 3.828520311191759007e-02
5.857020818056667411e-01 1.454968211055222282e-01 6.234061325548781451e-02 5.233587750853202492e-02
6.135907273413173657e-01 1.463354093416604773e-01 5.583187151256432945e-02 6.372911007446956100e-02
6.428073117284321958e-01 1.462479185145620086e-01 5.094256194872606724e-02 7.251471774541215498e-02
6.734150657750822555e-01 1.452780612393222703e-01 4.748852388700683380e-02 7.885273895187099036e-02
7.054802310718643055e-01 1.434846097133294085e-01 4.526147395813670538e-02 8.298194453252399905e-02
7.390722033525778389e-01 1.409383792981429850e-01 4.404149451183078656e-02 8.518962033148427815e-02
7.742636826811271078e-01 1.377190867678114439e-01 4.360840446434069428e-02 8.578466746784584041e-02
